infraction_description,set_fine_amount,location2
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,2950 LAWRENCE AVENUE EAST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,2950 LAWRENCE AVENUE EAST
PARK ON PRIVATE PROPERTY,30,4001 LESLIE ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,12 HART HOUSE CIRCLE
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,478 KING ST W
PARK ON PRIVATE PROPERTY,30,111 LOMBARD
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,4001 LELSIE ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,4256 BATHURST ST
PARK ON PRIVATE PROPERTY,30,155 CUMBERLAND ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,155 CUMBERLAND ST
PARK ON PRIVATE PROPERTY,30,155 CUMBERLAND ST
PARK ON PRIVATE PROPERTY,30,40 AUTUMN GLEN CRCL
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,4700 KEELE ST
PARK ON PRIVATE PROPERTY,30,339 COLLEGE ST
PARK ON PRIVATE PROPERTY,30,95 HIGH PARK AVE
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,162 CUMBERLAND ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,162 CUMBERLAND ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,61 TOWN CENTRE CRT
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,31A PARLIAMENT ST
PARK ON PRIVATE PROPERTY,30,162 CUMBERLAND ST
PARK ON PRIVATE PROPERTY,30,31 PARLIAMENT ST
